title,author,publish_press,yizhe,publish_time,pages,price,series,series_url,ISBN,score,pingjiarenshu,url
北洋裂变 : 军阀与五四,张鸣, 广西师范大学出版社,, 2010.5, 371, 29.80元,理想国·张鸣作品,https://book.douban.com/series/48858, 9787563398232,7.5,1983,https://book.douban.com/subject/4745305/
诗经 ,孔丘, 北京出版社,, 2006-7, 363, 19.90元,家庭书架·传世经典读库,https://book.douban.com/series/10592, 9787200065039,9.4,20928,https://book.douban.com/subject/1883245/
论语 ,,"<div id=""info"" class="""">                         中华书局",, 2006-12, 191, 9.80元,传世经典 文白对照,https://book.douban.com/series/24307, 9787101054187,9.1,16224,https://book.douban.com/subject/1964774/
古文观止 ,吴楚材                   /                        吴调侯, 中华书局,, 1987-1-1, 527, 21.00元,,, 9787101000290,9.1,15528,https://book.douban.com/subject/1014561/
论美国的民主 ,[法] 托克维尔, 商务印书馆,董果良, 1989-1-1, 974, 60.00,汉译世界学术名著丛书·政治法律社会,https://book.douban.com/series/27, 9787100011105,9.2,7445,https://book.douban.com/subject/1041385/
利维坦 ,[英国]            霍布斯, 商务印书馆,"黎思复,黎廷弼", 1985-9, 578, 35.00元,汉译世界学术名著丛书·政治法律社会,https://book.douban.com/series/27, 9787100017510,8.7,4077,https://book.douban.com/subject/1468426/
君主论 ,[意大利]            尼科洛·马基雅维里, 商务印书馆,潘汉典, 1985-7, 131, 9.00,汉译世界学术名著丛书·政治法律社会,https://book.douban.com/series/27, 9787100016483,8.7,16003,https://book.douban.com/subject/1060774/
联邦党人文集 ,汉密尔顿                   /                杰伊                   /                麦迪逊, 商务印书馆,"程逢如,在汉,舒逊", 1980, 472, 30.00元,汉译世界学术名著丛书·政治法律社会,https://book.douban.com/series/27, 9787100002806,9.0,2880,https://book.douban.com/subject/1048930/
极权主义的起源 ,[德国]            汉娜·阿伦特, 生活·读书·新知三联书店,林骧华, 2008-6, 654, 56.00元,,, 9787108029157,8.7,3384,https://book.douban.com/subject/3101021/
法国革命论 ,柏克, 商务印书馆,"何兆武,彭刚", 2010-9-1, 319, 23.00元,汉译世界学术名著丛书·政治法律社会,https://book.douban.com/series/27, 9787100032490,8.4,628,https://book.douban.com/subject/1051349/
政治秩序的起源 : 从前人类时代到法国大革命,[美国]            弗朗西斯·福山, 广西师范大学出版社,毛俊杰, 2012-10-20, 576, 68.00元,理想国 福山作品,https://book.douban.com/series/23369, 9787549512805,8.9,1121,https://book.douban.com/subject/19976381/
通往奴役之路 ,弗里德利希・冯・哈耶克, 中国社会科学出版社,"王明毅,冯兴元", 1997-08-01, 247, 16.00,西方现代思想丛书,https://book.douban.com/series/298, 9787500421368,8.8,13764,https://book.douban.com/subject/1077528/
正义论 ,[美国]            约翰·罗尔斯, 中国社会科学出版社,"何怀宏,何包钢,廖申白", 2001-6, 627, 32.00元,外国伦理学名著译丛,https://book.douban.com/series/1581, 9787500402442,8.9,2787,https://book.douban.com/subject/1028268/
宋书（全八册） ,沈约, 中华书局,, 1974-10, 2471, 95.00,点校本二十四史·清史稿,https://book.douban.com/series/7670, 9787101003093,8.9,263,https://book.douban.com/subject/1001165/
魏书（全八册） ,魏收, 中华书局,, 1997-09, 3065, 116.00,点校本二十四史·清史稿,https://book.douban.com/series/7670, 9787101003130,8.9,201,https://book.douban.com/subject/1014817/
南齐书（全三册） ,萧子显, 中华书局,, 1996-07, 1038, 40.00,点校本二十四史·清史稿,https://book.douban.com/series/7670, 9787101003109,8.5,227,https://book.douban.com/subject/1015356/
新五代史（全三册） ,欧阳修, 中华书局,, 1974-12-1, 923, 36.00,点校本二十四史·清史稿,https://book.douban.com/series/7670, 9787101003222,8.8,307,https://book.douban.com/subject/1116206/
