jigoumingcheng,title,price,renshu
北京学神IT教育,3天精通Docker+K8S容器技术并搭建公司自己的私有云容器仓库,¥2.23,3848人购买
菜子学院,2021初级致胜通关班-实务,¥762.22,5260人购买
Rhino3D（犀牛）原厂中国/Shaper3d,Grasshopper 工具组件用法系统课程（合集）,¥062.22,5999人购买
聚心恒教育,2021 PS 108实训班/第3代 顶配版 VIP课程【腾讯课堂认证机构】,¥8362.22,8558人购买
拓薪教育,Java基础入门阶段（javase教程，零基础java入门教程）（阶段一）,¥177.22,439人购买
聚心恒教育,C4D /电商设计 PS美工设计 立体三维3D效果 高级实战班-聚心恒,¥3922.22,8237人购买
聚心恒教育,C4D /电商设计 PS美工设计 立体三维3D效果 高级实战班-聚心恒,¥3922.22,8237人购买
腾讯课堂NEXT学院,【NEXT学院】Vue从入门到实战,¥5977.22,558人购买
渡一教育,零基础入学：人工智能-“深度学习” 算法与实践,¥8077.22,5132人购买
筑道教育,2021年注册道路基础考试精讲班+真题班联报,¥5922.22,61人购买
小任老师,2021软考--系统集成项目管理工程师-基础知识(下) 视频课程,¥577.22,618人购买
恩维客教育,【恩维客教育】VIP室内设计效果图表现3DMAX空间表现班,¥3562.22,1671人购买
筑道教育,2021年注册结构/岩土基础考试精讲班+真题班联报,¥5622.22,511人购买
马哥教育,马哥Linux高端运维云计算就业班-随到随学+专业辅导+定期直播,¥9162.22,5493人购买
云普集教育,3D游戏建模次世代场景班【云普集教育】,¥8362.22,5502人购买
太阁网络学院,【太阁闫辉】六IE讲师教你三个月考过CCIE+HCIE,¥59922,3302人购买
米你课堂,米你课堂-摄影后期高级实战班【VIP】,¥0022.22,0245人购买
野马设计学院,野马学院【印刷/版式设计】VIP高级实战课程,¥3062.22,0030人购买
太阁网络学院,【太阁闫辉】XCNA网络认证VIP班 CCNA/HCIA,¥866.22,8337人购买
百聚汇商学院,亚马逊新品站外引流技巧,¥2.77,085人购买
峰源教育,【北京峰源】钢结构真题解析书专用,¥577.22,8640人购买
小任老师,2021软考--网络工程师-上午历年真题解析视频（第三期）,¥77.22,342人购买
百聚汇商学院,亚马逊Amazon全球开店账号注册基础实操课,¥2.77,481人购买
魔贝课凡,信息流实战训练营-SEM竞价培养明星优化师【平台政策与投放策略】,¥5576.22,543人购买
闪电课堂,【金晶生物】2021高考二三轮复习,¥3077.22,50人购买
峰源教育,北京峰源----土建造价基础班,¥5477.22,5886人购买
松勤软件测试,【松勤】软件测试公开课之Jmeter/性能测试/接口测试,¥3.22,923人购买
